concessionaria;n_ai_ni;data_da_infracao;trecho;dispositivo_infringido;decisao;valor_da_penalidade;pagamento;data;status
RMN;AI/018/2017/GEAFI;07/03/2017;N/A;Inciso II do Art. 66 do Decreto nº 1.832/96 c/c Art. 6º da Resolução nº 3847/12;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMO;AI/017/2017/GEAFI;07/03/2017;N/A;Inciso II do Art. 66 do Decreto nº 1.832/1996 c/c Art. 6º da Resolução nº 3847/2012;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMO;AI/007/2017/GEAFI;07/03/2017;N/A;Cláusula 1ª, §§ 2º, 3º e 4º c/c Cláusula 9ª, Item 9.1. inc. IX;Multa;323300;0;;EM TRÂMITE
RMP;AI/019/2017/GEAFI;07/03/2017;N/A;Inciso II do Art. 66 do Decreto nº 1.832/1996 c/c Art. 6º da Resolução nº 3847/2012.;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMS;AI/016/2017/GEAFI;07/03/2017;N/A;Inciso II do Art. 66 do Decreto nº 1.832 c/c Art. 6º da Resolução nº 3847/2012;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMS;AI/006/2017/GEAFI;07/03/2017;N/A;Cláusula 1ª, §§ 2º, 3º e 4º c/c Cláusula 9ª, Item 9.1. inc. IX;Multa;331400;0;;EM TRÂMITE
RUMO;AI/009/2017/GEAFI;10/03/2017;N/A;Deliberação nº 101/12, art. 2º, inc. II c/c Resolução nº 2.495/07, art. 1º, inc. II, §§ 3º e 4º;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RUMO;AI/010/2017/GEAFI;10/03/2017;N/A;Deliberação nº 101/12, art. 1º, inc. I, alínea a;Advertência;0;0;;EM TRÂMITE
RUMO;AI/008/2017/GEAFI;10/03/2017;N/A;Deliberação nº 101/2012, art. 2º, inc. I c/c Resolução nº 2.495/07, art. 1º, inc. I, §1º;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RUMO;AI/011/2017/GEAFI;10/03/2017;N/A;Deliberação nº 101/2012, art. 3º;Advertência;0;0;;ARQUIVADO-ADVERTIDO
RMS;AI/017/2017/COFER-URRS/GECOF/SUFER/ANTT;16/03/2017;Porto União a Marcelino Ramos;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;331400;0;;EM TRÂMITE
RMO;AI/260/URSP/2017;20/03/2017;Bauru - Três Lagoas;Inciso XXVI, Item 9.1, da Clausula Nona, do Contrato de Concessão  .;Multa;969900;0;;EM TRÂMITE
RMO;AI/263/URSP/2017;20/03/2017;Bauru - Três Lagoas;Inciso VIII, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;323300;0;;EM TRÂMITE
RMO;AI/259/2017/COFER-URSP/GECOF/SUFER/ANTT;20/03/2017;Mairinque - Bauru;Inciso XXIV, Item 9.1, da Clausula Nona, do Contrato de Concessão  .;Multa;969900;0;;EM TRÂMITE
RMO;AI/264/2017/COFER-URSP/GECOF/SUFER/ANTT;20/03/2017;Três Lagoas - Indubrasil;Inciso VIII, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;323300;0;;EM TRÂMITE
RMO;AI/265/2017/COFER-URSP/GECOF/SUFER/ANTT;20/03/2017;Indubrasil - Corumbá;Inciso VIII, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;323300;0;;EM TRÂMITE
RMO;AI/262/2017/COFER-URSP/GECOF/SUFER/ANTT;20/03/2017;Mairinque - Bauru;Inciso VIII, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;323300;0;;EM TRÂMITE
RMO;AI/267/2017/COFER-URSP/GECOF/SUFER/ANTT;22/03/2017;Pátio Três Lagoas;Inciso XII, Cláusula Quarta, Contrato de Arrendamento;Multa;323300;0;;EM TRÂMITE
FCA;AI/013/URMG/2017;10/04/2017;Ibiá a Uberaba e Araguari a Roncador Novo e Rama Catalão;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
FCA;AI/015/URMG/2017;20/04/2017;Eng. Bhering - Três Corações - Varginhas;Inciso X, Cláusula Quarta, Contrato de Arrendamento;Multa;260800;0;;EM TRÂMITE
FCA;AI/006/GECOF/2017;26/04/2017;Toda a malha;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso IX c/c Resolução ANTT nº 1.431/2006;Multa;260800;0;;EM TRÂMITE
